,0,1,2,3
0,what is i-venture?,"{'query': 'what is i-venture?', 'result': ' I-Venture is an entrepreneurial organization located at ISB that aims to foster entrepreneurship and nurture startups by providing them with resources and support under one roof. It also runs programs such as I-Win and OfExperiences to help professionals undergoing career transitions. Saumita, an ME and PhD in Biotechnology, is an alumnus of BITS Pilani and IIT Kharagpur and is involved in the organization. ', 'source_documents': [Document(page_content='- I-Venture @ ISB\n- one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_category_startup-stories.txt'}), Document(page_content='Lami.Fit (lami.fit) is the perfect example of what happens when intuition, knowledge, experience and technology come together. The first-of-its-kind healthtech platform that uses DNA, and blood & body markers to predict health risks, Lami.fit synthesises the findings to curate personalised health plans that can prevent and reverse lifestyle diseases like diabetes, thyroid, PCOS, heart risks & chronic gut disorders.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-in-a-world-where-fitness-is-measured-by-weight-alone-lami-fit-stands-out-by-a-mile.txt'}), Document(page_content='We are an entrepreneurial company and we care about one thing above all, building value for the company and our customers. As an entrepreneurial organization we should always consider ourselves a team and work as one.', metadata={'source': '/content/drive/MyDrive/striped_new/local_file18_no_empty_lines.txt'}), Document(page_content='Monk & Mei, I-Win program', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-what-led-sonia-khatri-anand-to-build-a-global-brand-from-the-brink-of-shutdown.txt'}), Document(page_content='That is what led to the genesis of OfExperiences, a platform that builds, develops and equips professionals who are undergoing career transitions by running niche cohort-based programs for them across career stages, and providing them with relevant information, personalized guidance, and real connections to help them navigate through their transitional phase. OFExperiences also acts as a bridge between such professionals and organizations that are looking for similar talent. Not only does Lochan’s brainchild help organizations with ready talent, but they also provide valuable behavioural insights that enable the organization’s talent hiring and development efforts.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-how-lochan-helps-individuals-deal-with-their-career-related-dilemmas.txt'}), Document(page_content='Saumita is an Entrepreneur and a technology enthusiast with experience across Industrial R&D, Technology Analysis, and more recently, Book Publishing. Saumita is an ME, PhD in Biotechnology and is an alumnus of premiere Indian institutes BITS Pilani and IIT Kharagpur.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-discover-how-saumita-banerjee-is-enabling-authors-with-letsauthor.txt'})]}",-0.3184797763824463,score
1,how does it help a startup?,"{'query': 'how does it help a startup?', 'result': '\nIt helps startups by providing them with a platform that offers personalized guidance, relevant information, and real connections to professionals who are undergoing career transitions. This can help startups find and acquire ready talent, as well as gain valuable insights into the behavior of professionals in their industry. Additionally, the platform can also assist with product design, market validation, and funding assistance for early-stage startups.', 'source_documents': [Document(page_content=""- platform that builds, develops and equips professionals\n- undergoing career transitions\n- niche cohort-based programs\n- relevant information, personalized guidance, and real connections\n- bridge between professionals and organizations\n- help organizations with ready talent\n- valuable behavioural insights\n- enable the organization's talent hiring and development efforts"", metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-how-lochan-helps-individuals-deal-with-their-career-related-dilemmas.txt'}), Document(page_content='""Discover and validate your ideas, design products, and apply product frameworks.""', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_startup-toolkit.txt'}), Document(page_content='- Entersoft is a leading application security provider\n- helping businesses across fintech and blockchain technology\n- secure their applications\n- through future-ready solutions\n- that help keep up with the changing technology landscape\n- Their strengths lie in assessing security risks, monitoring for threats and safeguarding applications against compliance issues as well as the latest threats.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_hackfest.txt'}), Document(page_content='startups’ needs and equip them with a refined product pitch, scalable business tools, resources for comprehensive market validation, and funding assistance.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_liftoff-propel.txt'}), Document(page_content='There are five main criteria that the selection committee will take into account: sustainability, scalability, replicability, environmental impact and social impact of the startup.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_social-impact-accelerator.txt'}), Document(page_content='- This app isn’t just great news for those of us with a sedentary lifestyle – it also helps athletes & individuals to reach the peak of their health and fitness.\n- The makers of the app believe that every individual is different and that the nutritional and fitness requirements for people vary greatly.\n- A general nutrition plan can only do so much and does not have the ability to fundamentally solve underlying health problems.\n- Lakshmi recalls her first success that led to Lami.Fit’s birth.\n- She had recommended a few dietary changes to her partner’s father who was dealing with diabetes, and in no time there was a substantial improvement in his condition.\n- Not only did his dependency on medicines reduce, but his overall health improved as well.\n- That was the moment when Lakshmi decided to make her experience accessible to all.\n- A partnership with Amol, who brought an entrepreneurial mindset, cleared the stage for Lami.Fit’s launch.\n- The support from I-win has helped Lakshmi and Amol a great deal.\n- Having mentors and.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-in-a-world-where-fitness-is-measured-by-weight-alone-lami-fit-stands-out-by-a-mile.txt'}), Document(page_content='- Startups working in AI, Blockchain and DeFi thematic areas\n- Incorporated for a minimum of 1 year\n- At the post MVP stage or advanced product stage\n- In the early revenue stage with scalability potential', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_finchain.txt'}), Document(page_content='[I-WIN Startup Stories] How Lochan helps individuals deal with their career related dilemmas.I-WINStartup Stories [I-WIN Startup Stories] Discover how Saumita Banerjee is enabling authors with LetsAuthor', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_news.txt'}), Document(page_content='September 8, 2022 • I-WIN, Startup Stories  LetsAuthor (www.letsauthor.com) is an independent publishing house based in Bengaluru, with a strong and fast-growing list of titles. It was set up …', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org.txt'})]}",-8.46904969215393,score
2,I-Venture @ ISB program?,"{'query': 'I-Venture @ ISB program?', 'result': '\nI-Venture @ ISB program is a one-year-old brand umbrella that brings together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR. Its aim is to foster entrepreneurship and nurture startups by offering mentorship, tailored masterclasses and workshops, product development and refinement, field immersions, access to lab facilities, go-to-market strategies, and more. ', 'source_documents': [Document(page_content='I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_women-entrepreneurs.txt'}), Document(page_content='I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_agrifood-accelerator.txt'}), Document(page_content='Criteria  Minimum 1 year from incorporation  Early revenue stage ventures with scalability potential  Program Offerings  Mentorship from I-Venture @ ISB and Deshpande Startups  Tailored Masterclasses and Workshops  Product Development and Refinement  Field Immersions  Access to Lab facilities  Go-to-Market strategies  Market Access and Scale up Support  Internationalization support  Strategic Partnerships  Fundraising support  Networking  Startup Toolkit  Program Timeline  Program Partners  Knowledge Partners  Investor Partners  Ecosystem Partners  Technology Partner  Contact Us  I-Venture @ ISB: rakshith_chengappa@isbdlabs.orgDeshpande Startup: mohamed.rizwan@dfmail.org  FAQs', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_agrifood-accelerator.txt'}), Document(page_content='I-Venture @ ISB turns One!\nI-Venture @ ISB has completed one year of its existence.\nI-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_i-venture-isb.txt'}), Document(page_content='I-Venture @ ISB program', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_oneyearanniversary.txt'}), Document(page_content='I-Venture @ ISB program', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_i-venture-isb.txt'})]}",-5.452191591262817,score
3,How can I be a part of I-Venture @ ISB?,"{'query': 'How can I be a part of I-Venture @ ISB?', 'result': ' To be a part of I-Venture @ ISB, you can email i-venture@isb.edu or call +91-8977011810. The program offers comprehensive support for startups, including mentorship, masterclasses, and internationalization support. Applications will be shortlisted based on technical feasibility, market awareness, value proposition, and scaling potential. I-Venture @ ISB is open to startups from all over the world.', 'source_documents': [Document(page_content='- I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.\n- Email: i-venture@isb.edu\n- Phone: +91-8977011810', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_tag_iwin.txt'}), Document(page_content='The program offers comprehensive support, including mentorship from Dlabs and Broadridge, tailored masterclasses and workshops, business development,\xa0 go-to-market strategies, scale-up support, internationalisation support and strategic partnerships. Is the FinChain @ ISB powered by Broadridge Acceleration Program open to startups outside of India? Yes, startups across the globe can apply. I-Venture @ ISB', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_finchain.txt'}), Document(page_content='I-Venture @ ISBAugust 26, 2022  I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_aic-isb.txt'}), Document(page_content='- I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_liftoff-propel.txt'}), Document(page_content='The applications will be shortlisted based on Technical Feasibility, Market Awareness, Value Proposition, and Scaling Potential.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tep-tricity-edition.txt'}), Document(page_content='- Come be a part of our team at DLabs & AIC ISB – bring your ideas, ingenuity and determination to make a difference.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_careers.txt'}), Document(page_content='I-Venture @ ISB turns One! It warms our hearts to share that I-Venture @ ISB has completed one year of its existence. Thank you all for being a part of the I-Venture @ ISB family throughout.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tag_i-venture-isb.txt'})]}",-5.8467419147491455,score
4,Is there any specific sector I-Venture focus on?,"{'query': 'Is there any specific sector I-Venture focus on?', 'result': ' I-Venture focuses on entrepreneurship in sectors such as Agri, Food tech, and allied industries.', 'source_documents': [Document(page_content='I-Venture focus on entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_tag_i-venture-isb_list.txt'}), Document(page_content='No_OUTPUT', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_tep-tricity-edition.txt'}), Document(page_content='I-Venture @ ISB join forces with Deshpande Startups to run a pan India initiative to identify and engage an outstanding pool of potential entrepreneurs with innovative solutions to address problems in the Agri and Food sector with high growth potential.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_agrifood-accelerator.txt'}), Document(page_content='I-Venture @ ISB is a brand umbrella bringing together all the pillars of', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-heal.txt'}), Document(page_content='If any court of competent jurisdiction holds that  the restrictions contained in this Agreement are unreasonable on any criteria, the said restrictions shall be  deemed to be reduced to the extent necessary in the opinion of such Court to make them reasonable.', metadata={'source': '/content/drive/MyDrive/striped_new/local_file19_no_empty_lines.txt'}), Document(page_content='Startup’s with their products/services in Agri, Food tech and allied', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_agrifood-accelerator.txt'})]}",-3.830927848815918,score
5,What type of events does I-Venture does?,"{'query': 'What type of events does I-Venture does?', 'result': ' I-Venture @ ISB offers support to startups that are at or above MVP stage, commercially viable, and have the potential to create an impact. The program offers comprehensive support, mentorship, tailored masterclasses and workshops, business development, go-to-market strategies, scale-up support, internationalisation support, strategic partnerships, and access to a business scale-up toolkit.', 'source_documents': [Document(page_content='Previous Events  Today Next Events  Subscribe to calendar Google Calendar iCalendar Outlook 365 Outlook Live Export .ics file Export Outlook .ics file I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_list_page_2__tribe-bar-date=2023-12-01_eventDisplay=past.txt'}), Document(page_content='The startups having their product/service at or above MVP stage (Technology Readiness Level 5 or more)Commercially viable and has the potential to create an impact What support does the program offer to selected startups?', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-heal.txt'}), Document(page_content='Startups incorporated for a minimum of 1 year, at the post MVP stage or advanced product stage (TRL 8-9), and in the early revenue stage with scalability potential are eligible to apply.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_cleantech-accelerator.txt'}), Document(page_content='- The program offers comprehensive support\n- Mentorship from Dlabs and Broadridge\n- Tailored masterclasses and workshops\n- Business development\n- Go-to-market strategies\n- Scale-up support\n- Internationalisation support\n- Strategic partnerships\n- How long does the FinChain @ ISB powered by Broadridge Acceleration Program last?\n- Timeline of approximately 9 weeks\n- Acceleration period from January to March\n- Demo day\n- What happens after the application submission?\n- Shortlisted startups will be notified\n- Further instructions and details provided for participation in the program\n- Is the FinChain @ ISB powered by Broadridge Acceleration Program open to startups outside of India?\n- Yes, startups across the globe can apply\n- How can I get in touch for further inquiries?\n- Contact information: contact@isbdlabs.org\n- I-Venture @ ISB', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_finchain.txt'}), Document(page_content='Program offerings  Live-online expert sessions  Self-paced masterclasses  Live-online Friday socials & p2p networking  Mentor Clinics  Gap analysis  PMF discovery & validation  Go-To-Market  Financial planning  Advance Pitch Clinics  Fundraising opportunity  Networking  Access to business scale up toolkit  Program structure  Program timeline  Cohort 2023  Contact us  I-Venture @ ISB: nagaraj_bolakatti@isbdlabs.orgWadhwani Foundation: ankit.machhar@wfglobal.org  FAQs  Who is eligible to apply for the Liftoff Propel Program? Startups incorporated for a minimum of 1 year, at the post MVP stage or advanced product stage (TRL 8-9), and in the early revenue stage with scalability potential are eligible to apply. What support does the program offer to selected startups? The program offers comprehensive support, including mentorship from ISB & Wadhwani foundation, tailored masterclasses and workshops, business development and market access assistance, access to', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_liftoff-propel.txt'})]}",-8.032043933868408,score
6,how can i be part of these events and from where can i get to know?,"{'query': 'how can i be part of these events and from where can i get to know?', 'result': '\nTo participate in these events, you can RSVP through the provided link, but seats are limited and curated. Yes, startups can join virtually for the events. The HackFest duration is 8 hours and it is a hybrid event held at the ISB Hyderabad campus. For further inquiries, please contact us at contact@isbdlabs.org.', 'source_documents': [Document(page_content='Investor Connects ?\u200d? Expert Clinics ? Speed Networking ? Investment Readiness Workshop ☕ High Tea RSVP here:\xa0https://lu.ma/j0sn4ebw Limited seats and curated', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_list_page_2__tribe-bar-date=2023-11-01_eventDisplay=past.txt'}), Document(page_content='A maximum of 2 participants from each team can attend the event. Is it possible to participate virtually? Yes, startups can join virtually as well. What is the duration of the HackFest? 8 hours of live hybrid event at ISB Hyderabad campus. Events One year celebration Others Media Kit Resources Startup Toolkit', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_hackfest.txt'}), Document(page_content='Knowledge Series (I-Venture @ ISB) | Episode-1 March 10, 2023  « HackFest 2023 powered by EnterSoft Web3 Wednesdays – Monthly Edition » Healthtech startups in India have enormous potential for growth and can make a significant impact on the healthcare system. However, startups need to be cognizant of the challenges that come with doing business in the Indian healthcare market and must be well-equipped to navigate them. Our first episode of the Knowledge Series featured Dr. Vijayasimha Ajarananda, CEO, of Audicor Cardiometrics where he shares insights on the opportunities and challenges in the space.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_event_knowledge-series-i-venture-isb-episode-1.txt'}), Document(page_content='CleanTech Acceleration Program is specifically designed for startups incorporated in India. It is not open to startups from outside of India.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_cleantech-accelerator.txt'}), Document(page_content='14:30 - 16:30 hrs  Pitch Session  8 startups from India and the UK pitch to VCs  16:30 - 18:30 hrs  Round Table  Key ecosystem stakeholders (VCs, Policy makers, industry/corporate, startups and Academia) from India and the UK come together to discuss', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_london-conference-2022.txt'}), Document(page_content='The program offers comprehensive support, including mentorship from Dlabs and Broadridge, tailored masterclasses and workshops, business development,\xa0 go-to-market strategies, scale-up support, internationalisation support and strategic partnerships. How can I get in touch for further inquiries? For any further inquiries or questions, please feel free to contact us at contact@isbdlabs.org Our team will be happy to assist you and provide the necessary information.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_finchain.txt'}), Document(page_content='Fri 10 March 10, 2023 Knowledge Series (I-Venture @ ISB) | Episode-1 Entrepreneurship is a complex and multifaceted endeavour that involves a range of skills and knowledge, from business planning and financial management to marketing and sales, team building, and more. We believe by providing access to information and resources that will help founders develop these skills and knowledge, we can create a more vibrant and thriving […] Fri 10 March 10, 2023 Knowledge Series (I-Venture @ ISB) | Episode-2 Entrepreneurship is a complex and multifaceted endeavour that involves a range of skills and knowledge, from business planning and financial management to marketing and sales, team building, and more. We believe by providing access to information and resources that will help founders develop these skills and knowledge, we can create a more vibrant and thriving […]', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_list__tribe-bar-date=2023-10-27_eventDisplay=past.txt'})]}",-7.839606523513794,score
7,how i-venture assist startups in accessing funding and investment opportunities?,"{'query': 'how i-venture assist startups in accessing funding and investment opportunities?', 'result': '\nI-Venture @ ISB and Deshpande Startups have joined forces to run a pan India initiative to identify and engage potential entrepreneurs in the Agri and Food sector. This initiative aims to provide handholding, capacity building, and networking opportunities for startups to access funding and investment. ISB also has a Women of Innovation Program that provides acceleration support and a platform for fundraising for women-founded/co-founded startups. Additionally, I-Venture supports startups through its CleanTech Acceleration Program and facilitates the conversion of startups into profitable ventures. AIC also administers business incubators and provides support for entrepreneurship, as well as engages with the startup ecosystem in India. Finally, AIC offers support for startups in areas such as mentorship and business development, and also supports startups looking to expand globally.', 'source_documents': [Document(page_content='I-Venture @ ISB join forces with Deshpande Startups to run a pan India initiative to identify and engage an outstanding pool of potential entrepreneurs with innovative solutions to address problems in the Agri and Food sector with high growth potential. This initiative aims to build/nurture potential ventures by providing handholding, capacity building support, curated field visits to test/trial their products along with a platform to network with relevant stakeholders and investors.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_agrifood-accelerator.txt'}), Document(page_content='- ""ISB has also been seeing some startups coming to the campus placement drives for recruitment.""\n - ""ISB is also doing an entrepreneurship programme under CM ST Entrepreneurship and Innovation (CMSTEI) scheme to support and promote entrepreneurs among scheduled tribes of Telangana.""\n - ""The Tribal Cooperative Finance Corporation (TRICOR) is the primary stakeholder in this programme.""\n - ""More than 170 startups graduated 70 raised funding Total funding raised by startups is about Rs 730 crore""', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_indian-school-of-business-to-create-global-corridor-for-startups.txt'}), Document(page_content='- I-Venture @ ISB’s Women of Innovation Program \n- provide acceleration support to women founded/co-founded start-ups \n- handholding entrepreneurs through their scaling-up journey \n- leveraging ISB’s strong network \n- enabling women to scale their products/services \n- Go-to-Market stage \n- scaling up through focused guidance, workshops, shared learning, networking \n- platform for fundraising \n- extensive business growth opportunities \n- I-WIN 2.0 \n- investment ready \n- helpful for startups who want to raise funds in near future', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_iwin.txt'}), Document(page_content='Pitch Session  8 startups from India and the UK pitch to VCs', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_london-conference-2022.txt'}), Document(page_content='I-Venture @ISB, Kalaari Capital, Endiya Partners, T-Hub, ISB Hyderabad campus, I-Venture team, Professor Bhagwan Chowdhry, exchange ideas, make connections', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-connect-isb-creating-an-ecosystem-for-entrepreneurs-to-network.txt'}), Document(page_content='CleanTech Acceleration Program is specifically designed for startups incorporated in India. For any further inquiries or questions, please feel free to contact us at contact@aicisb.org. Our team will be happy to assist you and provide the necessary information.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_cleantech-accelerator.txt'}), Document(page_content='It administers business incubators that provide ‘Start-to-Scale’ support for entrepreneurship and facilitates the conversion of start-ups into profitable entrepreneurial ventures, apart from multidisciplinary research initiatives and academic programs that creates and strengthens entrepreneurial mindset and rigour.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_about.txt'}), Document(page_content='Assisting Program Managers in new programs within AIC incubation, acceleration and corporate innovation verticalsSupport in end to end management of program along with stakeholder managementProactively engage with the startup ecosystem in IndiaDevelop and manage a pipeline of mentors, industry experts, and advisors for AIC across diverse industriesSupport in evaluating startups based on their business model and technical feasibility aligned with the program requirementsFacilitate targeted one-on-one support for startups in business development areas in close collaboration with AIC team and its', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_careers.txt'}), Document(page_content='Many budding entrepreneurs may not be aware of the legal system in those countries, the startup ecosystem there or finding the right mentors there. Conversely, there might be ideas in other countries that can solve a problem in India.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_indian-school-of-business-to-create-global-corridor-for-startups.txt'})]}",-9.537303447723389,score
8,i am a student and want to startup my venture. how can i-venture @ isb help?,"{'query': 'i am a student and want to startup my venture. how can i-venture @ isb help?', 'result': ' I-Venture @ ISB offers various resources and programs for students interested in starting their own ventures, including the I-WIN Accelerator program and the Tinkerpreneur bootcamp. They also provide opportunities for pitching to venture capitalists and networking with key stakeholders in the entrepreneurship ecosystem. Additionally, they have a flagship program specifically for women-founded and co-founded startups.', 'source_documents': [Document(page_content='I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups. Email: i-venture@isb.edu Phone: +91-8977011810', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_tag_demoday.txt'}), Document(page_content='I-Venture @ ISB is proud to take them through our I-WIN Accelerator program and we wish the venture a successful journey!', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-what-led-sonia-khatri-anand-to-build-a-global-brand-from-the-brink-of-shutdown.txt'}), Document(page_content='Tinkerpreneur bootcamp was a first of its kind initiative by AIM to teach students entrepreneurship during the summer break. Students learnt various skills such as latest technology skills, building a product, business models, marketing, branding, business finance, building an online store and finally how to pitch their venture.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_aim-concludes-atl-tinkerpreneur-2021-with-atal-catalyst-isb-program-for-the-top-100-student-teams.txt'}), Document(page_content='""Agenda  14:30 - 16:30 hrs  Pitch Session  8 startups from India and the UK pitch to VCs  16:30 - 18:30 hrs  Round Table  Key ecosystem stakeholders (VCs, Policy makers, industry/corporate, startups and Academia) from India and the UK come together to discuss how a robust and sustainable global startup corridor can be built.""', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_london-conference-2022.txt'}), Document(page_content='I am a student and want to startup my venture. I-Venture @ ISB’s flagship program for women-founded and co-founded start-ups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-in-a-world-where-fitness-is-measured-by-weight-alone-lami-fit-stands-out-by-a-mile.txt'}), Document(page_content='I-Venture at ISB is back with the second edition of I-Connect @ ISB powered by DBS Bank, this time in MoTown!', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_event_i-connect-isb-powered-by-dbs-bank.txt'})]}",-5.3316650390625,score
9,what all services does i-venture @ isb provide to startups?,"{'query': 'what all services does i-venture @ isb provide to startups?', 'result': ' I-Venture @ ISB provides various programs and support for startups in the AI, Blockchain, and DeFi thematic areas who have been incorporated for at least one year and are at the post MVP or advanced product stage. This includes access to business incubators, mentoring from alumni members and Prof Bhagwan Chowdhry, as well as various programs and activities to help them grow and reach the market. Additionally, the I-WIN accelerator program offers support such as expert sessions, networking opportunities, and access to business scale up toolkit.', 'source_documents': [Document(page_content='- I-Venture @ ISB is a brand umbrella bringing together all the pillars of entrepreneurship at ISB - DLabs, AIC ISB, DIRI, and TRICOR under one roof with an aim to foster entrepreneurship and nurture startups.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_events_tag_yourstory.txt'}), Document(page_content='Startups working in AI,\xa0 Blockchain and DeFi thematic areas, incorporated for a minimum of 1 year, at the post MVP stage or advanced product stage, and in the early revenue stage with scalability potential are eligible to apply.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_finchain.txt'}), Document(page_content='It administers business incubators that provide ‘Start-to-Scale’ support for entrepreneurship and facilitates the conversion of start-ups into profitable entrepreneurial ventures, apart from multidisciplinary research initiatives and academic programs that creates and strengthens entrepreneurial mindset and rigour. We have very specific programs that will cater to entrepreneurs and ventures of all stages. I-Venture @ ISB is constantly working towards creating a strong ecosystem of mentors, VC’s and Academicians to ensure startup’s reach to market and their growth.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_about.txt'}), Document(page_content='- alumni members as mentors to nurture startup ideas into scalable businesses\n- Prof Bhagwan Chowdhry, Faculty Director, I-Venture\n- fosters entrepreneurship and nurtures startups at ISB\n- administers business incubators\n- facilitates the conversion of startups into entrepreneurial ventures\n- various programmes that cater to ventures of all stages\n- stepped up activities related to nurturing the entrepreneurship ecosystem\n- bringing them under one umbrella', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_indian-school-of-business-to-create-global-corridor-for-startups.txt'}), Document(page_content='The startups having their product/service at or above MVP stage (Technology Readiness Level 5 or more)Commercially viable and has the potential to create an impact What support does the program offer to selected startups?', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-heal.txt'}), Document(page_content='Startups incorporated for a minimum of 1 year, at the post MVP stage or advanced product stage (TRL 8-9), and in the early revenue stage with scalability potential are eligible to apply.', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_cleantech-accelerator.txt'}), Document(page_content=""I-WIN's accelerator program"", metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_i-win-startup-stories-how-lochan-helps-individuals-deal-with-their-career-related-dilemmas.txt'}), Document(page_content='MVP StageMarket-tested with early or pilot customers  Program offerings  Live-online expert sessions  Self-paced masterclasses  Live-online Friday socials & p2p networking  Mentor Clinics  Gap analysis  PMF discovery & validation  Go-To-Market  Financial planning  Advance Pitch Clinics  Fundraising opportunity  Networking  Access to business scale up toolkit  Program structure  Program timeline  Cohort 2023  Contact us  I-Venture @ ISB: nagaraj_bolakatti@isbdlabs.orgWadhwani Foundation: ankit.machhar@wfglobal.org  FAQs', metadata={'source': '/content/drive/MyDrive/striped_new/https___i-venture.org_liftoff-propel.txt'})]}",-8.235581398010254,score
